date,firm_total_usd,USD,ETH,EUR,client:CoW DAO,client:Balancer DAO,client:ENS,client:Nexus Mutual,USD_dep,USD_apy,USD_bench,ETH_dep,ETH_apy,ETH_bench
2026-01-05,142221817.59,59450299.84,78202220.69,1375523.66,14553154.05,8673752.39,115936419.76,3058491.39,,,,,,
2026-01-12,137376103.09,58683125.99,74116573.11,1374582.18,12554522.28,8665560.74,113119042.74,3036977.33,,,,,,
2026-01-19,139585695.46,58753612.79,76284959.53,1370237.0,12603136.74,8722431.45,115447462.49,2812664.77,,,,,,
2026-02-02,109268446.68,53000454.89,53769269.84,0.0,0.0,7661594.58,99726661.63,1880190.47,,,,,,
2026-02-09,115730040.65,64173400.58,48015412.58,1403878.17,16323278.15,7188488.91,90415074.26,1803199.32,,,,,,
2026-02-16,113683029.45,61261703.66,48569428.07,1399858.34,16290504.11,6662120.54,88934647.91,1795756.89,,,,,,
2026-02-23,111882795.29,59369585.03,48816742.79,1391869.02,16259736.03,5797484.42,88026664.46,1798910.39,,,,,,
2026-03-02,111809532.37,58901287.38,50688166.28,0.0,14883133.8,6626109.79,88497884.66,1802404.12,,,,,,
2026-03-09,114023365.22,59003820.6,52935067.04,0.0,16206725.38,6239242.34,89752717.9,1824679.6,,,,,,
2026-03-16,121535256.57,59092112.06,60087915.74,0.0,16467395.63,6609911.4,96563240.66,1894708.89,,,,,,
2026-03-23,113585860.98,54220494.26,57230591.55,0.0,16400931.87,6621895.82,88698614.33,1864418.95,,,,,,
2026-03-30,115623724.66,59251495.33,54431292.07,0.0,16335977.81,6391903.94,91058822.48,1837020.43,,,,,,
2026-04-06,114864795.31,56561537.69,56421956.65,0.0,13672918.32,6367115.43,92948214.29,1876547.26,,,,,,
2026-04-13,117513685.89,57286925.19,58391978.02,0.0,13733652.73,6354501.29,94826355.4,2599176.47,,,,,,
2026-04-27,86079074.23,27235773.79,56972521.1,0.0,4757128.54,2898690.53,77110448.49,1312806.67,,,,,,
2026-05-04,107225364.26,38350519.77,64494649.68,2579847.81,7363065.85,2840042.37,95361561.57,1660694.47,,,,,,
2026-05-11,108365572.56,40380946.66,63448956.75,2590658.46,9327245.88,2975430.61,94406713.89,1656182.18,,,,,,
2026-05-18,105958998.08,42764835.83,58913809.34,2559495.87,9130742.12,5022207.38,90199024.72,1607023.87,,,,,,
2026-05-25,105782937.98,44030433.61,57507893.56,2563437.1,9126866.94,4978686.03,90072836.18,1604548.83,,,,,,
2026-06-01,102238099.1,44603326.9,53530387.92,2557834.94,9494595.49,4822175.65,86355054.41,1566273.56,,,,,,
2026-06-08,94127086.62,43566752.44,46782407.06,2536559.22,9220863.92,4391959.82,79023310.38,1490952.5,,,,,,
2026-06-15,116585659.66,62133456.64,49540551.42,3193226.64,25569376.65,7035936.77,81147687.5,2832658.74,,,,,,
2026-06-22,102346705.73,48985907.6,49349042.61,2524049.4,14400249.42,4687784.85,81491144.13,1767527.33,,,,,,
2026-06-24,106179867.6,52814092.17,47220257.17,3132699.39,26252863.99,6275302.68,71326034.65,2325666.28,,,,,,
2026-06-30,104020388.67,52842244.34,44705644.83,3139366.53,26221056.94,6523728.93,68988072.06,2287530.74,,,,,,
2026-07-06,97089980.31,52889432.89,37712095.4,3151337.76,25375546.38,6655509.83,62919311.92,2139612.18,51716236.33,4.6232,3.61,37706965.16,2.3845,2.16
2026-07-07,114432457.98,53390289.77,49513729.08,3151337.77,26857786.32,7838733.38,73169576.59,6566361.69,52217093.2,4.6232,3.61,49508598.83,2.3845,2.16
2026-07-08,115410721.65,53402831.38,50622504.87,3148132.64,27912035.75,7734250.24,73229892.7,6534542.96,52229211.95,3.969,3.63,50614437.48,2.3663,2.15
2026-07-09,111274505.08,50186245.9,50673175.33,3148534.67,24721385.76,6736476.67,73277502.98,6539139.67,50177969.69,3.916,3.56,50665111.3,2.355,2.16
2026-07-10,113020401.23,50195566.61,52134166.01,3156623.06,25012638.34,6920814.94,74452162.79,6634785.16,50187129.14,3.9364,3.5900000000000003,51944771.47,2.3884,2.1399999999999997
2026-07-11,113068375.58,50204605.21,52182199.78,3151346.84,25019699.89,6913689.63,74501720.83,6633265.23,50196139.82,3.8827,3.5700000000000003,51990261.49,2.3698,2.13
2026-07-12,113121096.47,50209343.58,52209098.76,3148684.13,25028025.48,6931198.18,74526934.38,6634938.43,50200878.38,3.9588,3.58,52017175.61,2.3703,2.13
2026-07-13,112646622.31,50207599.49,51739010.69,3155668.26,25045441.99,6906772.83,74097355.62,6597051.87,50198955.02,3.9727,3.58,51549211.09,2.3807,2.11
2026-07-14,110564474.15,50215754.45,49292197.36,3146053.27,22865236.93,6921949.48,74149654.73,6627633.01,50213936.42,3.9241,3.5900000000000003,49285141.52,2.3683,2.11
2026-07-15,114801961.31,50225566.84,52231322.62,3156221.83,23109256.42,8267942.6,76623521.66,6801240.63,50220743.15,4.0704,3.58,51861650.56,2.3679,2.1399999999999997
2026-07-16,114270852.16,50232276.08,51951833.62,3160152.48,23002862.62,8105401.41,76340603.42,6821984.71,50226070.17,4.6392,3.5700000000000003,51581001.09,2.3433,2.1399999999999997
2026-07-17,112065868.91,50619915.61,50673934.29,3158320.19,23227863.89,7190514.34,74928944.05,6718546.63,50233871.24,4.5651,3.53,50105261.8,2.2908,2.1399999999999997
2026-07-18,108794360.04,50630325.74,47507559.91,3157056.04,23150952.34,7159889.32,71745511.15,6738007.23,50244060.74,4.6752,3.51,46519369.51,2.2918,2.13
2026-07-19,109590337.52,50635534.03,48196384.64,3157402.21,23156844.85,7233521.39,72399482.22,6800489.06,50249270.21,4.4707,3.52,47194507.05,2.2655,2.13
2026-07-20,109538371.33,50639346.32,48146238.66,3155868.24,23144697.85,7210935.53,72355394.53,6827343.42,50253101.51,4.2992,3.52,47148855.14,2.2415,2.13
2026-07-21,112530272.38,51047064.58,50546182.47,3150326.21,23224964.63,8473897.58,73921317.73,6910092.44,50261204.78,4.5219,3.52,49156510.92,2.2323,2.13
2026-07-22,109135715.16,51072832.47,48352829.25,3150843.48,21819101.64,8633619.13,71748517.32,6934477.07,50269475.37,4.4542,3.52,46968203.31,2.2148,2.1
2026-07-23,110745740.92,51307155.26,49825088.03,3157158.76,21659361.58,8565866.08,73614142.95,6906370.31,51087393.98,4.6207,3.52,46739354.4,2.233,2.1
